match,state,bill,status,summary,action,year,keep
8%,GA,SR563,Pass,A RESOLUTION commending Berklee College of Music and recognizing the fifth anniversary of the Berklee College of Music's Atlanta Spring Break Trip; and for other purposes.,3/23/15,2015,0
11%,GA,SR563,Pass,A RESOLUTION commending Berklee College of Music and recognizing the fifth anniversary of the Berklee College of Music's Atlanta Spring Break Trip; and for other purposes.,3/23/15,2015,0
12%,GA,SR1093,Pass,A RESOLUTION celebrating the fifth anniversary of Berklee College of Music's annual Atlanta trip; and for other purposes.,3/21/18,2018,0
8%,GA,SR1093,Pass,A RESOLUTION celebrating the fifth anniversary of Berklee College of Music's annual Atlanta trip; and for other purposes.,3/21/18,2018,0
19%,HI,HB1166,Intro,Caps the service charges for a primary and secondary ticket seller. Requires website operators to guarantee refunds in certain circumstances and disclose that the website is not the primary ticket seller. Prohibits speculative tickets and the usage o...,2/21/19,2019,1
19%,HI,SB611,Intro,Caps the service charges for a primary and secondary ticket seller. Requires website operators to guarantee refunds in certain circumstances and disclose that the website is not the primary ticket seller. Prohibits speculative tickets and the usage o...,1/28/19,2019,1
19%,HI,HB1166,Intro,Caps the service charges for a primary and secondary ticket seller. Requires website operators to guarantee refunds in certain circumstances and disclose that the website is not the primary ticket seller. Prohibits speculative tickets and the usage o...,12/1/19,2019,0
19%,HI,SB611,Intro,Caps the service charges for a primary and secondary ticket seller. Requires website operators to guarantee refunds in certain circumstances and disclose that the website is not the primary ticket seller. Prohibits speculative tickets and the usage o...,12/1/19,2019,0
13%,HI,SB367,Intro,"Caps the service charges for a primary and secondary ticket seller. Requires website operators to guarantee refunds in certain circumstances and disclose that the website is not the primary ticket seller. Prohibits variable demand pricing, speculativ...",1/25/23,2023,1
20%,ID,S1381,Enroll,CORONAVIRUS -- Adds to existing law to establish the Coronavirus Pause Act to prohibit certain actions related to coronavirus.,3/28/22,2022,0
12%,ID,S1088,Intro,CORONAVIRUS -- Adds to existing law to establish the Coronavirus Stop Act to prohibit certain actions related to coronavirus.,2/14/23,2023,0
12%,ID,S1130,Pass,CORONAVIRUS -- Adds to existing law to establish the Coronavirus Stop Act to prohibit certain actions related to coronavirus.,4/6/23,2023,0
11%,IL,HR1315,Pass,Recognizes the 10th anniversary of the Chicago Theatre District and congratulates the district's staff and performers on bringing entertainment and economic development to the people of Chicago.,11/16/10,2010,0
19%,IL,SB2344,Intro,Reinserts the provisions of the introduced bill with the following changes. Adds a provision concerning refund alternatives for ticket order cancellations and postponements due to events caused by epidemics and pandemics (rather than ticketed events ...,4/23/21,2021,1
19%,IL,SB2344,Intro,Reinserts the provisions of the introduced bill with the following changes. Adds a provision concerning refund alternatives for ticket order cancellations and postponements due to events caused by epidemics and pandemics (rather than ticketed events ...,4/23/21,2021,0
19%,IL,HB5444,Intro,"Amends the Ticket Sale and Resale Act. Revises the nomenclature used in the Act. Provides for the regulation of primary sellers and venues (rather than a theater, circus, baseball park, and place of public entertainment or amusement). Provides for re...",4/29/22,2022,1
19%,IL,HB5444,Intro,"Amends the Ticket Sale and Resale Act. Revises the nomenclature used in the Act. Provides for the regulation of primary sellers and venues (rather than a theater, circus, baseball park, and place of public entertainment or amusement). Provides for re...",4/29/22,2022,0
20%,IN,SB0554,Pass,Economic development. Provides that the Indiana economic development corporation (IEDC) may renew an enterprise zone that is established in an inactive or closed military base (enterprise zone) for not more than 10 years subject to certain criteria. …,5/2/19,2019,0
20%,IN,HB1331,Intro,Ticket sales. Provides that a ticket issuer shall not issue a ticket exclusively through a delivery method that substantially prevents the ticket purchaser from lawfully transferring or reselling the ticket through certain methods. Provides that a pe...,1/27/20,2020,1
18%,KS,SB2,Engross,Allowing consumption of beer and wine on the Kansas state fairgrounds and crediting a portion of moneys collected from the liquor enforcement tax to the state fair capital improvements fund.,3/25/21,2021,0
20%,KS,HB2670,Fail,"Prohibiting certain acts by business entities, governmental entities or public officials based upon a person's vaccination status or possession of an immunity passport, amending the Kansas act against discrimination to define unlawful employment prac...",5/23/22,2022,0
20%,KS,SB437,Fail,"Prohibiting certain acts by business entities, governmental entities or public officials based upon a person's vaccination status or possession of an immunity passport, amending the Kansas act against discrimination to define unlawful employment prac...",5/23/22,2022,0
20%,KS,HB2449,Fail,"Prohibiting stay-at-home orders and curfews and certain public and private entities from requiring vaccinations, requiring the capitol and legislative meetings be open to the public and protecting the freedom of worship and operation of private busin...",5/23/22,2022,0
19%,KS,HCR5017,Fail,Supporting the adoption of the COVID-19 Vaccine Bill of Rights,5/23/22,2022,0
20%,KS,HB2670,Fail,"Prohibiting certain acts by business entities, governmental entities or public officials based upon a person's vaccination status or possession of an immunity passport, amending the Kansas act against discrimination to define unlawful employment prac...",5/23/22,2022,0
20%,KS,SB437,Fail,"Prohibiting certain acts by business entities, governmental entities or public officials based upon a person's vaccination status or possession of an immunity passport, amending the Kansas act against discrimination to define unlawful employment prac...",5/23/22,2022,0
20%,KS,HB2449,Fail,"Prohibiting stay-at-home orders and curfews and certain public and private entities from requiring vaccinations, requiring the capitol and legislative meetings be open to the public and protecting the freedom of worship and operation of private busin...",5/23/22,2022,0
