match,state,bill,status,summary,action,year,keep
25%,NJ,S4031,Intro,Prohibits sale of tickets not in reseller's possession.,6/26/23,2023,1
25%,NJ,A5287,Intro,Establishes requirements for fee disclosure and for fees allowed as part of sale for certain tickets.,2/28/23,2023,1
12%,NJ,A5289,Intro,Requires certain notice when redirecting consumers to website for ticket resale and establishes certain requirements for websites offering tickets for resale.,2/28/23,2023,1
9%,NJ,A5638,Intro,Requires Division of Consumer Affairs display list of all registered ticket brokers on division's website.,6/20/23,2023,1
9%,NJ,S3995,Intro,Requires Division of Consumer Affairs display list of all registered ticket brokers on division's website.,6/26/23,2023,1
13%,NY,A07950,Intro,"The purpose of this bill is to extend the ticket resale law changes first enacted in 2007 fifty weeks until May 15, 2010, to have a report generated in regards to article 25 of the arts and culture law, and to prohibit operator's agents from selling ...",6/9/09,2009,1
17%,NY,S05039,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/4/12,2012,1
17%,NY,S05039,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/4/12,2012,0
17%,NY,S00210,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/31/14,2014,1
17%,NY,S00210,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/31/14,2014,0
12%,NY,S00192,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,2/5/16,2016,1
17%,NY,S00192,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,2/5/16,2016,0
19%,NY,S08501,Pass,Relates to the sale of tickets to places of entertainment; establishes notice and disclosure requirements for the sale or resale of tickets.,7/1/18,2018,1
19%,NY,A08245,Intro,Relates to the sale of tickets to places of entertainment; establishes notice and disclosure requirements for the sale or resale of tickets.,6/20/18,2018,1
19%,NY,A02895,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/3/18,2018,1
12%,NY,S08501,Pass,Relates to the sale of tickets to places of entertainment; establishes notice and disclosure requirements for the sale or resale of tickets.,7/1/18,2018,0
12%,NY,A08245,Intro,Relates to the sale of tickets to places of entertainment; establishes notice and disclosure requirements for the sale or resale of tickets.,6/20/18,2018,0
12%,NY,A02895,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/3/18,2018,0
19%,NY,A01534,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/8/20,2020,0
19%,NY,A01534,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/8/20,2020,0
19%,NY,S06716,Intro,Enacts into law components of legislation that relate to live event ticket sales; institutes civil penalties for utilizing ticket purchasing software; increases civil penalties currently in place; institutes new penalties for second offenses for lice...,5/17/22,2022,1
19%,NY,A04013,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/5/22,2022,0
19%,NY,A07100,Intro,"Prohibits mandatory COVID-19 vaccination; limits civil liability of employers; prohibits requiring vaccination for education, employment, travel or other activities; enacts a vaccine bill of rights.",1/5/22,2022,0
19%,NY,S06716,Intro,Enacts into law components of legislation that relate to live event ticket sales; institutes civil penalties for utilizing ticket purchasing software; increases civil penalties currently in place; institutes new penalties for second offenses for lice...,5/17/22,2022,0
19%,NY,A04013,Intro,Relates to resale of tickets to places of entertainment; provides for the regulation of boxing and wrestling relating to tickets to places of entertainment.,1/5/22,2022,0
19%,NY,A07100,Intro,"Prohibits mandatory COVID-19 vaccination; limits civil liability of employers; prohibits requiring vaccination for education, employment, travel or other activities; enacts a vaccine bill of rights.",1/5/22,2022,0
12%,NY,A05881,Intro,"Enacts into law components of legislation that relate to live event ticket sales; institutes civil penalties for utilizing ticket purchasing software; institutes new penalties for second offenses for licensees and for any person, firm, corporation or...",3/23/23,2023,1
12%,NY,S04923,Intro,"Enacts into law components of legislation that relate to live event ticket sales; institutes civil penalties for utilizing ticket purchasing software; institutes new penalties for second offenses for licensees and for any person, firm, corporation or...",2/17/23,2023,1
12%,NY,A06454,Intro,"Prohibits mandatory COVID-19 vaccination; limits civil liability of employers; prohibits requiring vaccination for education, employment, travel or other activities; enacts a vaccine bill of rights.",4/11/23,2023,0
20%,PA,HB1439,Intro,"An Act prohibiting vaccination, isolation and quarantine mandates, vaccination without consent and vaccination mandates by business entities and ticket issuers; and imposing penalties.",5/17/21,2021,0
20%,PA,HB1225,Intro,"An Act prohibiting the requirement of vaccinations by certain public and private entities, protecting freedom of worship, maintaining the openness of the Pennsylvania State Capitol Building and legislative meetings and proceedings, protecting the ope...",4/20/21,2021,0
20%,PA,HB1439,Intro,"An Act prohibiting vaccination, isolation and quarantine mandates, vaccination without consent and vaccination mandates by business entities and ticket issuers; and imposing penalties.",5/17/21,2021,0
20%,PA,HB1225,Intro,"An Act prohibiting the requirement of vaccinations by certain public and private entities, protecting freedom of worship, maintaining the openness of the Pennsylvania State Capitol Building and legislative meetings and proceedings, protecting the ope...",4/20/21,2021,0
13%,PA,HB1413,Intro,"An Act prohibiting the requirement of vaccinations by certain public and private entities, protecting freedom of worship, maintaining the openness of the Pennsylvania State Capitol Building and legislative meetings and proceedings, protecting the ope...",6/14/23,2023,0
35%,RI,S2658,Intro,"Enact the ""Fair Access to Tickets and Ticket Brokers Act"" which would regulate the sale and resale of event tickets, and would require registration of ticket brokers with the department of business regulation.",3/4/14,2014,1
35%,RI,H7543,Intro,"Enact the ""Fair Access to Tickets and Ticket Brokers Act"" which would regulate the sale and resale of event tickets, and would require registration of ticket brokers with the department of business regulation.",4/4/14,2014,1
13%,RI,H7971,Intro,"Ticket resellers required to provide refund for counterfeit, misrepresented and unusable tickets. Ticket issuers would offer optional transferable tickets and eliminates criminal penalty.",4/10/18,2018,1
13%,RI,S2618,Intro,"Ticket resellers required to provide refund for counterfeit, misrepresented and unusable tickets. Ticket issuers would offer optional transferable tickets and eliminates criminal penalty.",4/11/18,2018,1
20%,RI,H5362,Intro,"Provides regulations for the reselling of tickets for entertainment events including regulations for refunds, counterfeit ticket sales, delivery of tickets and deceptive ticket sales websites.",2/26/19,2019,1
20%,RI,S0623,Intro,"Provides regulations for the reselling of tickets for entertainment events including regulations for refunds, counterfeit ticket sales, delivery of tickets and deceptive ticket sales websites.",4/24/19,2019,1
19%,SC,S0558,Intro,Event ticket resale,3/16/17,2017,1
12%,SC,S0558,Intro,Event ticket resale,3/16/17,2017,0
19%,SC,H3988,Intro,Memorialize the US Congress re: Vaccination Bill of Rights,4/20/21,2021,0
19%,SC,H3988,Intro,Memorialize the US Congress re: Vaccination Bill of Rights,4/20/21,2021,0
35%,TN,HB0005,Intro,"As introduced, enacts the ""Fairness in Ticketing Act."" - Amends TCA Title 47 and Title 62.",2/4/13,2013,1
35%,TN,HB1000,Intro,"As introduced, enacts the ""Fairness in Ticketing Act of 2013."" - Amends TCA Title 62.",4/3/13,2013,1
35%,TN,SB0609,Intro,"As introduced, enacts the ""Fairness in Ticketing Act of 2013."" - Amends TCA Title 62.",4/18/13,2013,1
35%,TN,HB0005,Intro,"As introduced, enacts the ""Fairness in Ticketing Act."" - Amends TCA Title 47 and Title 62.",2/4/13,2013,0
35%,TN,HB1000,Intro,"As introduced, enacts the ""Fairness in Ticketing Act of 2013."" - Amends TCA Title 62.",4/3/13,2013,0
35%,TN,SB0609,Intro,"As introduced, enacts the ""Fairness in Ticketing Act of 2013."" - Amends TCA Title 62.",4/18/13,2013,0
18%,TN,SB1176,Pass,"As enacted, requires a ticket reseller using a tentative ticket policy to make certain disclosures during a resale transaction of tickets that are not owned or possessed by the reseller, under a contract for transfer to the reseller, in the reseller'...",4/15/19,2019,1
18%,TN,HB1439,Pass,"As enacted, requires a ticket reseller using a tentative ticket policy to make certain disclosures during a resale transaction of tickets that are not owned or possessed by the reseller, under a contract for transfer to the reseller, in the reseller'...",4/15/19,2019,1
19%,TN,SB1176,Pass,"As enacted, requires a ticket reseller using a tentative ticket policy to make certain disclosures during a resale transaction of tickets that are not owned or possessed by the reseller, under a contract for transfer to the reseller, in the reseller'...",4/15/19,2019,0
19%,TN,HB1439,Pass,"As enacted, requires a ticket reseller using a tentative ticket policy to make certain disclosures during a resale transaction of tickets that are not owned or possessed by the reseller, under a contract for transfer to the reseller, in the reseller'...",4/15/19,2019,0
25%,TN,SB1043,Pass,"As enacted, requires a third-party ticket reseller, ticket broker, ticket issuer, and ticket resale website to meet certain requirements with regard to selling tickets. - Amends TCA Title 29; Title 39; Title 47; Title 48 and Title 67.",5/24/23,2023,1
25%,TN,HB1231,Pass,"As enacted, requires a third-party ticket reseller, ticket broker, ticket issuer, and ticket resale website to meet certain requirements with regard to selling tickets. - Amends TCA Title 29; Title 39; Title 47; Title 48 and Title 67.",5/24/23,2023,1
52%,TX,HB3041,Intro,Relating to the sale of event tickets; providing penalties.,4/2/13,2013,1
52%,TX,SB1558,Intro,Relating to the sale of event tickets.,3/19/13,2013,1
52%,TX,HB3041,Intro,Relating to the sale of event tickets; providing penalties.,4/2/13,2013,0
52%,TX,SB1558,Intro,Relating to the sale of event tickets.,3/19/13,2013,0
13%,TX,HB3477,Intro,Relating to restrictions on event ticket sales.,4/22/15,2015,1
18%,TX,HB3477,Intro,Relating to restrictions on event ticket sales.,4/22/15,2015,0
19%,TX,HB3745,Engross,Relating to prohibitions in connection with the online sale of goods.,5/26/21,2021,1
19%,TX,HB3745,Engross,Relating to prohibitions in connection with the online sale of goods.,5/26/21,2021,0
25%,TX,HB2444,Intro,Relating to prohibitions in connection with ticket sales on an Internet website; providing a civil penalty.,5/6/23,2023,1
25%,TX,SB1639,Pass,Relating to prohibitions in connection with ticket sales on an Internet website; providing a civil penalty.,5/19/23,2023,1
13%,TX,HB4084,Engross,Relating to certain disclosures and other requirements relating to the sale of concert and other event tickets.,5/16/23,2023,1
53%,US,HB4795,Intro,Ticket Act - Makes it unlawful for any: (1) ticket issuer to prohibit or restrict the resale or offering for resale of an event ticket by a lawful possessor; and (2) person to engage in the primary or resale market for event ticket sales without comp...,3/9/10,2010,1
53%,US,HB950,Intro,Ticket Act - Prohibits any ticket issuer from prohibiting or restricting the resale or offering for resale of an event ticket by a lawful possessor. Includes among prohibited activities: (1) purporting to impose license or contractual terms on the in...,3/11/11,2011,1
53%,US,HB950,Intro,Ticket Act - Prohibits any ticket issuer from prohibiting or restricting the resale or offering for resale of an event ticket by a lawful possessor. Includes among prohibited activities: (1) purporting to impose license or contractual terms on the in...,3/11/11,2011,0
13%,US,SB3183,Pass,"BOTS Act of 2016 Better Online Ticket Sales Act of 2016 (Sec. 2) This bill prohibits the circumvention of a security measure, access control system, or other technological measure on an Internet website or online service of a ticket issuer that is us...",12/14/16,2016,1
19%,US,SB3183,Pass,"BOTS Act of 2016 Better Online Ticket Sales Act of 2016 (Sec. 2) This bill prohibits the circumvention of a security measure, access control system, or other technological measure on an Internet website or online service of a ticket issuer that is us...",12/14/16,2016,0
26%,US,SB3191,Intro,"A bill to improve online ticket sales and protect consumers, and for other purposes.",11/1/23,2023,1
13%,US,SB1303,Intro,A bill to require sellers of event tickets to disclose comprehensive information to consumers about ticket prices and related fees.,9/12/23,2023,1
13%,US,HB3950,Intro,"To require sellers of event tickets to disclose comprehensive information to consumers about ticket prices and related fees, and for other purposes.",12/6/23,2023,1
13%,US,SR169,Intro,A resolution expressing the sense of the Senate that Secretary of Homeland Security Alejandro Nicholas Mayorkas does not have the confidence of the Senate or of the American people to faithfully carry out the duties of his office.,4/20/23,2023,0
11%,US,SB3457,Intro,A bill to promote fairness in the sale of event tickets.,12/7/23,2023,1
12%,UT,HB0457,Engross,Consumer Ticket Protection Amendments,3/8/18,2018,1
19%,UT,HB0128,Pass,Consumer Ticket Protection Modifications,3/22/19,2019,1
19%,UT,SB0069,Pass,Consumer Ticket Protection Amendments,3/27/19,2019,1
12%,UT,SB0138,Pass,Fraudulent Ticket Sales Modifications,3/14/23,2023,1
19%,VA,HB1825,Pass,"Rights to resell tickets; civil penalty. Prohibits any person that issues tickets for admission to a professional concert, professional sporting event, or professional theatrical production, open to the public for which tickets are ordinarily sold, f...",3/3/17,2017,1
19%,VA,SB1425,Pass,"Rights to resell tickets; civil penalty. Prohibits any person that issues tickets for admission to a professional concert, professional sporting event, or professional theatrical production, open to the public for which tickets are ordinarily sold, f...",3/3/17,2017,1
19%,VA,HB1857,Pass,"Internet ticketing platforms and resellers; deceptive trade practices. Prohibits an Internet ticketing platform or reseller, as defined in the bill, from using or displaying any trademarked or copyrighted URL or other mark or symbol of an operator, a...",3/23/23,2023,1
19%,VA,SB1249,Pass,"Internet ticketing platforms and resellers; deceptive trade practices. Prohibits an Internet ticketing platform or reseller, as defined in the bill, from using or displaying any trademarked or copyrighted URL or other mark or symbol of an operator, a...",3/23/23,2023,1
19%,WA,SB6488,Intro,Concerning ticket sales over the internet.,2/2/18,2018,1
19%,WA,HB2921,Intro,Concerning ticket sales over the internet.,2/5/18,2018,1
12%,WA,SB6488,Intro,Concerning ticket sales over the internet.,2/2/18,2018,0
12%,WA,HB2921,Intro,Concerning ticket sales over the internet.,2/5/18,2018,0
12%,WA,HB1648,Intro,Concerning ticket sales.,2/24/23,2023,1
17%,WI,AB656,Fail,The local regulation of ticket selling and providing a penalty.,4/28/10,2010,1
17%,WI,SB458,Engross,The local regulation of ticket selling and providing a penalty.,4/28/10,2010,1
24%,NH,SB328,Intro,Relative to deceptive ticket sale practices.,12/8/23,2023,1
24%,US,HB6568,Intro,STOP Act of 2023 Speculative Ticketing Oversight and Prohibition Act,12/4/23,2023,1
100%,US,SB2957,Intro,BOSS and SWIFT ACT of 2023 Better Oversight of Stub Sales and Strengthening Well Informed and Fair Transactions for Audiences of Concert Ticketing Act of 2023,9/27/23,2023,1
99%,US,HB3660,Intro,BOSS and SWIFT ACT of 2023 Better Oversight of Stub Sales and Strengthening Well Informed and Fair Transactions for Audiences of Concert Ticketing Act of 2023,5/26/23,2023,1
