"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.27266310746236,0.053598725239287,-5.08711925974132,3.63543242994017e-07
"countries160 of 192",0.648349718031519,0.0538830792035146,12.0325290910477,2.39703667357442e-33
"countries80 of 192",0.336360940824365,0.0538003755079986,6.2520184598778,4.05181487707336e-10
"sanctions15%",-0.13324751639029,0.0620771485277458,-2.14648255518268,0.0318344990986472
"sanctions20%",-0.303564070627311,0.0620943428110387,-4.88875567217284,1.01475344619666e-06
"sanctions5%",0.191855282778305,0.0621605924797652,3.08644552962969,0.00202565056326999
