"outcome","model","estimate","std.error","conf.low","conf.high","p.value"
"Ticketmaster monopoly","Weighted",0.0824012774779964,0.0319735477144298,0.019734275499741,0.145068279456252,0.00996128605413301
"Ticketmaster monopoly","Unweighted",0.111578390444851,0.0317636285203576,0.0493228225266408,0.173833958363061,0.000443457547483414
"Ticketmaster inequality","Weighted",0.288206527830459,0.0321642235863301,0.225165808010558,0.35124724765036,3.23300382062312e-19
"Ticketmaster inequality","Unweighted",0.27731775782786,0.0314762088987482,0.215625522016454,0.339009993639265,1.24708324226132e-18
"Total post-sale activities","Weighted",-0.0212686426856204,0.031525776658504,-0.0830580295209416,0.0405207441497009,0.499902644063973
"Total post-sale activities","Unweighted",-0.0663160756812526,0.0307977245321155,-0.126678506569985,-0.00595364479252052,0.0312968035835737
"Filed FTC report","Weighted",0.0212601164447067,0.00840555813804099,0.00478552522418877,0.0377347076652246,0.011429268318698
"Filed FTC report","Unweighted",0.0254647887323935,0.00830472218334815,0.00918783235142027,0.0417417451133667,0.0021672407692234
